design,size,part,value
dress_basic,S,chest_circ,99.0
dress_basic,S,hip_circ,97.0
dress_basic,S,shoulder_width,35.0
dress_basic,M,chest_circ,108.0
dress_basic,M,hip_circ,106.0
dress_basic,M,shoulder_width,37.0
dress_basic,L,chest_circ,114.0
dress_basic,L,hip_circ,112.0
dress_basic,L,shoulder_width,38.7
pants_slacks,S,waist_circ,71.5
pants_slacks,M,waist_circ,80.1
pants_slacks,L,waist_circ,85.8
shirt_over,S,chest_circ,115.0
shirt_over,S,shoulder_width,35.0
shirt_over,M,chest_circ,124.0
shirt_over,M,shoulder_width,37.0
shirt_over,L,chest_circ,130.0
shirt_over,L,shoulder_width,39.1
shirt_slim,S,chest_circ,93.0
shirt_slim,S,shoulder_width,35.0
shirt_slim,M,chest_circ,102.0
shirt_slim,M,shoulder_width,37.0
shirt_slim,L,chest_circ,108.0
shirt_slim,L,shoulder_width,38.6
skirt_pencil,S,hip_circ,97.0
skirt_pencil,S,waist_circ,71.0
skirt_pencil,M,hip_circ,106.0
skirt_pencil,M,waist_circ,80.0
skirt_pencil,L,hip_circ,112.0
skirt_pencil,L,waist_circ,86.0
tshirt_basic,S,chest_circ,99.0
tshirt_basic,S,shoulder_width,35.0
tshirt_basic,M,chest_circ,108.0
tshirt_basic,M,shoulder_width,37.0
tshirt_basic,L,chest_circ,114.0
tshirt_basic,L,shoulder_width,38.7
