design,size,part,target_ease
dress_basic,S,chest_circ,14.0
dress_basic,S,hip_circ,6.0
dress_basic,S,shoulder_width,-7.9
dress_basic,M,chest_circ,14.0
dress_basic,M,hip_circ,6.0
dress_basic,M,shoulder_width,-9.0
dress_basic,L,chest_circ,14.0
dress_basic,L,hip_circ,6.0
dress_basic,L,shoulder_width,-8.9
pants_slacks,S,waist_circ,2.5
pants_slacks,M,waist_circ,2.1
pants_slacks,L,waist_circ,1.8
shirt_over,S,chest_circ,30.0
shirt_over,S,shoulder_width,-7.9
shirt_over,M,chest_circ,30.0
shirt_over,M,shoulder_width,-9.0
shirt_over,L,chest_circ,30.0
shirt_over,L,shoulder_width,-8.5
shirt_slim,S,chest_circ,8.0
shirt_slim,S,shoulder_width,-7.9
shirt_slim,M,chest_circ,8.0
shirt_slim,M,shoulder_width,-9.0
shirt_slim,L,chest_circ,8.0
shirt_slim,L,shoulder_width,-9.0
skirt_pencil,S,hip_circ,6.0
skirt_pencil,S,waist_circ,2.0
skirt_pencil,M,hip_circ,6.0
skirt_pencil,M,waist_circ,2.0
skirt_pencil,L,hip_circ,6.0
skirt_pencil,L,waist_circ,2.0
tshirt_basic,S,chest_circ,14.0
tshirt_basic,S,shoulder_width,-7.9
tshirt_basic,M,chest_circ,14.0
tshirt_basic,M,shoulder_width,-9.0
tshirt_basic,L,chest_circ,14.0
tshirt_basic,L,shoulder_width,-8.9
